zone_name,latitude,longitude,radius
Central_Jakarta_Core,-6.1751,106.8272,8000
Central_Jakarta_South,-6.2088,106.8456,8000
South_Jakarta_Kemang,-6.2600,106.8130,7000
South_Jakarta_Pondok_Indah,-6.2840,106.7810,7000
South_Jakarta_Kuningan,-6.2253,106.8334,7000
South_Jakarta_Tebet,-6.2297,106.8503,7000
South_Jakarta_Cilandak,-6.2845,106.8001,7000
West_Jakarta_Kebon_Jeruk,-6.1895,106.7633,8000
West_Jakarta_Grogol,-6.1662,106.7918,8000
West_Jakarta_Taman_Anggrek,-6.1789,106.7909,7000
North_Jakarta_PIK,-6.1090,106.7380,8000
North_Jakarta_Kelapa_Gading,-6.1572,106.9094,8000
North_Jakarta_Sunter,-6.1386,106.8666,8000
North_Jakarta_Pluit,-6.1262,106.7999,7000
East_Jakarta_Cakung,-6.1719,106.9519,8000
East_Jakarta_Pulo_Gadung,-6.1837,106.9093,8000
East_Jakarta_Rawamangun,-6.1897,106.8902,7000
East_Jakarta_Cibubur,-6.3532,106.8868,8000
Tangerang_BSD,-6.3019,106.6527,8000
Tangerang_Gading_Serpong,-6.2351,106.6289,8000
Tangerang_Alam_Sutera,-6.2247,106.6534,7000
Tangerang_Bintaro,-6.2716,106.7569,7000
Tangerang_Karawaci,-6.1766,106.6071,8000
Depok_Margonda,-6.3935,106.8318,8000
Depok_Cinere,-6.3284,106.7873,7000
Bekasi_Summarecon,-6.2254,107.0010,8000
Bekasi_Harapan_Indah,-6.1846,106.9728,8000
Bekasi_Galaxy,-6.2724,106.9719,7000